agency_cd;site_no;datetime;tz_cd;116507_63680;116507_63680_cd
USGS;11501000;28/05/2019 3:15;PDT;4.6;A
USGS;11501000;28/05/2019 3:30;PDT;4.7;A
USGS;11501000;28/05/2019 3:45;PDT;4.7;A
USGS;11501000;28/05/2019 4:00;PDT;4.8;A
USGS;11501000;28/05/2019 4:15;PDT;4.6;A
USGS;11501000;28/05/2019 4:30;PDT;4.7;A
USGS;11501000;28/05/2019 4:45;PDT;4.7;A
USGS;11501000;28/05/2019 5:00;PDT;4.9;A
USGS;11501000;28/05/2019 5:15;PDT;4.8;A
USGS;11501000;28/05/2019 5:30;PDT;4.9;A
USGS;11501000;28/05/2019 5:45;PDT;5;A
USGS;11501000;28/05/2019 6:00;PDT;4.9;A
USGS;11501000;28/05/2019 6:15;PDT;4.9;A
USGS;11501000;28/05/2019 6:30;PDT;4.7;A
USGS;11501000;28/05/2019 6:45;PDT;4.7;A
USGS;11501000;28/05/2019 7:00;PDT;4.7;A
USGS;11501000;28/05/2019 7:15;PDT;4.7;A
USGS;11501000;28/05/2019 7:30;PDT;4.6;A
USGS;11501000;28/05/2019 7:45;PDT;4.6;A
USGS;11501000;28/05/2019 8:00;PDT;4.7;A
USGS;11501000;28/05/2019 8:15;PDT;4.7;A
USGS;11501000;28/05/2019 8:30;PDT;4.7;A
USGS;11501000;28/05/2019 8:45;PDT;4.7;A
USGS;11501000;28/05/2019 9:00;PDT;4.7;A
USGS;11501000;28/05/2019 9:15;PDT;4.5;A
USGS;11501000;28/05/2019 9:30;PDT;4.4;A
USGS;11501000;28/05/2019 9:45;PDT;4.4;A
USGS;11501000;28/05/2019 10:00;PDT;4.4;A
USGS;11501000;28/05/2019 10:15;PDT;4.4;A
USGS;11501000;28/05/2019 10:30;PDT;4.3;A
USGS;11501000;28/05/2019 10:45;PDT;4.3;A
USGS;11501000;28/05/2019 11:00;PDT;4.5;A
USGS;11501000;28/05/2019 11:15;PDT;4.3;A
USGS;11501000;28/05/2019 11:30;PDT;4.4;A
USGS;11501000;28/05/2019 11:45;PDT;4.5;A
USGS;11501000;28/05/2019 12:00;PDT;4.3;A
USGS;11501000;28/05/2019 12:15;PDT;4.4;A
USGS;11501000;28/05/2019 12:30;PDT;4.3;A
USGS;11501000;28/05/2019 12:45;PDT;4.3;A
USGS;11501000;28/05/2019 13:00;PDT;4.3;A
USGS;11501000;28/05/2019 13:15;PDT;4.3;A
USGS;11501000;28/05/2019 13:30;PDT;4.2;A
USGS;11501000;28/05/2019 13:45;PDT;4.3;A
USGS;11501000;28/05/2019 14:00;PDT;4.4;A
USGS;11501000;28/05/2019 14:15;PDT;4.1;A
USGS;11501000;28/05/2019 14:30;PDT;4.2;A
USGS;11501000;28/05/2019 14:45;PDT;4.1;A
USGS;11501000;28/05/2019 15:00;PDT;4.2;A
USGS;11501000;28/05/2019 15:15;PDT;4.1;A
USGS;11501000;28/05/2019 15:30;PDT;4.2;A
USGS;11501000;28/05/2019 15:45;PDT;4.1;A
USGS;11501000;28/05/2019 16:00;PDT;4.1;A
USGS;11501000;28/05/2019 16:15;PDT;4.1;A
USGS;11501000;28/05/2019 16:30;PDT;4.2;A
USGS;11501000;28/05/2019 16:45;PDT;4.1;A
USGS;11501000;28/05/2019 17:00;PDT;4.2;A
USGS;11501000;28/05/2019 17:15;PDT;4.2;A
USGS;11501000;28/05/2019 17:30;PDT;4.1;A
USGS;11501000;28/05/2019 17:45;PDT;4.2;A
USGS;11501000;28/05/2019 18:00;PDT;4.1;A
USGS;11501000;28/05/2019 18:15;PDT;4.2;A
USGS;11501000;28/05/2019 18:30;PDT;4.1;A
USGS;11501000;28/05/2019 18:45;PDT;4;A
USGS;11501000;28/05/2019 19:00;PDT;4.2;A
USGS;11501000;28/05/2019 19:15;PDT;4.3;A
USGS;11501000;28/05/2019 19:30;PDT;4.1;A
USGS;11501000;28/05/2019 19:45;PDT;4.3;A
USGS;11501000;28/05/2019 20:00;PDT;4.2;A
USGS;11501000;28/05/2019 20:15;PDT;4.2;A
USGS;11501000;28/05/2019 20:30;PDT;4.3;A
USGS;11501000;28/05/2019 20:45;PDT;4.3;A
USGS;11501000;28/05/2019 21:00;PDT;4.3;A
USGS;11501000;28/05/2019 21:15;PDT;4.5;A
USGS;11501000;28/05/2019 21:30;PDT;4.4;A
USGS;11501000;28/05/2019 21:45;PDT;4.5;A
USGS;11501000;28/05/2019 22:00;PDT;4.4;A
USGS;11501000;28/05/2019 22:15;PDT;4.7;A
USGS;11501000;28/05/2019 22:30;PDT;4.6;A
USGS;11501000;28/05/2019 22:45;PDT;4.6;A
USGS;11501000;28/05/2019 23:00;PDT;4.6;A
USGS;11501000;28/05/2019 23:15;PDT;4.7;A
USGS;11501000;28/05/2019 23:30;PDT;4.7;A
USGS;11501000;28/05/2019 23:45;PDT;4.7;A
USGS;11501000;29/05/2019 0:00;PDT;4.6;A
USGS;11501000;29/05/2019 0:15;PDT;4.7;A
USGS;11501000;29/05/2019 0:30;PDT;4.7;A
USGS;11501000;29/05/2019 0:45;PDT;4.6;A
USGS;11501000;29/05/2019 1:00;PDT;4.9;A
USGS;11501000;29/05/2019 1:15;PDT;4.6;A
USGS;11501000;29/05/2019 1:30;PDT;4.6;A
USGS;11501000;29/05/2019 1:45;PDT;4.9;A
USGS;11501000;29/05/2019 2:00;PDT;4.8;A
USGS;11501000;29/05/2019 2:15;PDT;4.8;A
USGS;11501000;29/05/2019 2:30;PDT;4.8;A
USGS;11501000;29/05/2019 2:45;PDT;4.8;A
USGS;11501000;29/05/2019 3:00;PDT;4.7;A
USGS;11501000;29/05/2019 3:15;PDT;4.8;A
USGS;11501000;29/05/2019 3:30;PDT;4.9;A
USGS;11501000;29/05/2019 3:45;PDT;4.8;A
USGS;11501000;29/05/2019 4:00;PDT;4.8;A
USGS;11501000;29/05/2019 4:15;PDT;5;A
USGS;11501000;29/05/2019 4:30;PDT;4.9;A
USGS;11501000;29/05/2019 4:45;PDT;4.8;A
USGS;11501000;29/05/2019 5:00;PDT;4.7;A
USGS;11501000;29/05/2019 5:15;PDT;4.9;A
USGS;11501000;29/05/2019 5:30;PDT;4.9;A
USGS;11501000;29/05/2019 5:45;PDT;4.9;A
USGS;11501000;29/05/2019 6:00;PDT;4.9;A
USGS;11501000;29/05/2019 6:15;PDT;4.8;A
USGS;11501000;29/05/2019 6:30;PDT;4.8;A
USGS;11501000;29/05/2019 6:45;PDT;4.8;A
USGS;11501000;29/05/2019 7:00;PDT;4.7;A
USGS;11501000;29/05/2019 7:15;PDT;4.8;A
USGS;11501000;29/05/2019 7:30;PDT;4.6;A
USGS;11501000;29/05/2019 7:45;PDT;4.8;A
USGS;11501000;29/05/2019 8:00;PDT;4.8;A
USGS;11501000;29/05/2019 8:15;PDT;4.7;A
USGS;11501000;29/05/2019 8:30;PDT;4.7;A
USGS;11501000;29/05/2019 8:45;PDT;4.6;A
USGS;11501000;29/05/2019 9:00;PDT;4.7;A
USGS;11501000;29/05/2019 9:15;PDT;4.7;A
USGS;11501000;29/05/2019 9:30;PDT;4.5;A
USGS;11501000;29/05/2019 9:45;PDT;4.6;A
USGS;11501000;29/05/2019 10:00;PDT;4.6;A
USGS;11501000;29/05/2019 10:15;PDT;4.5;A
USGS;11501000;29/05/2019 10:30;PDT;4.5;A
USGS;11501000;29/05/2019 10:45;PDT;4.6;A
USGS;11501000;29/05/2019 11:00;PDT;4.5;A
USGS;11501000;29/05/2019 11:15;PDT;4.5;A
USGS;11501000;29/05/2019 11:30;PDT;4.5;A
USGS;11501000;29/05/2019 11:45;PDT;4.5;A
USGS;11501000;29/05/2019 12:00;PDT;4.5;A
USGS;11501000;29/05/2019 12:15;PDT;4.5;A
USGS;11501000;29/05/2019 12:30;PDT;4.4;A
USGS;11501000;29/05/2019 12:45;PDT;4.4;A
USGS;11501000;29/05/2019 13:00;PDT;4.4;A
USGS;11501000;29/05/2019 13:15;PDT;4.3;A
USGS;11501000;29/05/2019 13:30;PDT;4.5;A
USGS;11501000;29/05/2019 13:45;PDT;4.5;A
USGS;11501000;29/05/2019 14:00;PDT;4.5;A
USGS;11501000;29/05/2019 14:15;PDT;4.4;A
USGS;11501000;29/05/2019 14:30;PDT;4.5;A
USGS;11501000;29/05/2019 14:45;PDT;4.5;A
USGS;11501000;29/05/2019 15:00;PDT;4.5;A
USGS;11501000;29/05/2019 15:15;PDT;4.7;A
USGS;11501000;29/05/2019 15:30;PDT;4.8;A
USGS;11501000;29/05/2019 15:45;PDT;4.8;A
USGS;11501000;29/05/2019 16:00;PDT;4.9;A
USGS;11501000;29/05/2019 16:15;PDT;4.9;A
USGS;11501000;29/05/2019 16:30;PDT;5.1;A
USGS;11501000;29/05/2019 16:45;PDT;5;A
USGS;11501000;29/05/2019 17:00;PDT;5.2;A
USGS;11501000;29/05/2019 17:15;PDT;5.1;A
USGS;11501000;29/05/2019 17:30;PDT;5.1;A
USGS;11501000;29/05/2019 17:45;PDT;5.1;A
USGS;11501000;29/05/2019 18:00;PDT;5.1;A
USGS;11501000;29/05/2019 18:15;PDT;5.2;A
USGS;11501000;29/05/2019 18:30;PDT;5.4;A
USGS;11501000;29/05/2019 18:45;PDT;5.2;A
USGS;11501000;29/05/2019 19:00;PDT;5.2;A
USGS;11501000;29/05/2019 19:15;PDT;5.4;A
USGS;11501000;29/05/2019 19:30;PDT;5.5;A
USGS;11501000;29/05/2019 19:45;PDT;5.7;A
USGS;11501000;29/05/2019 20:00;PDT;5.9;A
USGS;11501000;29/05/2019 20:15;PDT;6.2;A
USGS;11501000;29/05/2019 20:30;PDT;6.3;A
USGS;11501000;29/05/2019 20:45;PDT;6.5;A
USGS;11501000;29/05/2019 21:00;PDT;6.8;A
USGS;11501000;29/05/2019 21:15;PDT;6.9;A
USGS;11501000;29/05/2019 21:30;PDT;7;A
USGS;11501000;29/05/2019 21:45;PDT;7.3;A
USGS;11501000;29/05/2019 22:00;PDT;7.3;A
USGS;11501000;29/05/2019 22:15;PDT;7.2;A
USGS;11501000;29/05/2019 22:30;PDT;7.2;A
USGS;11501000;29/05/2019 22:45;PDT;7.1;A
USGS;11501000;29/05/2019 23:00;PDT;7.1;A
USGS;11501000;29/05/2019 23:15;PDT;7;A
USGS;11501000;29/05/2019 23:30;PDT;6.9;A
USGS;11501000;29/05/2019 23:45;PDT;6.7;A
USGS;11501000;30/05/2019 0:00;PDT;6.7;A
USGS;11501000;30/05/2019 0:15;PDT;6.6;A
USGS;11501000;30/05/2019 0:30;PDT;6.4;A
USGS;11501000;30/05/2019 0:45;PDT;6.4;A
USGS;11501000;30/05/2019 1:00;PDT;6.3;A
USGS;11501000;30/05/2019 1:15;PDT;6.2;A
USGS;11501000;30/05/2019 1:30;PDT;6.2;A
USGS;11501000;30/05/2019 1:45;PDT;6.2;A
USGS;11501000;30/05/2019 2:00;PDT;6.1;A
USGS;11501000;30/05/2019 2:15;PDT;6;A
USGS;11501000;30/05/2019 2:30;PDT;5.9;A
USGS;11501000;30/05/2019 2:45;PDT;6;A
USGS;11501000;30/05/2019 3:00;PDT;5.9;A
USGS;11501000;30/05/2019 3:15;PDT;5.9;A
USGS;11501000;30/05/2019 3:30;PDT;5.8;A
USGS;11501000;30/05/2019 3:45;PDT;5.8;A
USGS;11501000;30/05/2019 4:00;PDT;5.8;A
USGS;11501000;30/05/2019 4:15;PDT;5.8;A
USGS;11501000;30/05/2019 4:30;PDT;5.7;A
USGS;11501000;30/05/2019 4:45;PDT;5.7;A
USGS;11501000;30/05/2019 5:00;PDT;5.7;A
USGS;11501000;30/05/2019 5:15;PDT;5.6;A
USGS;11501000;30/05/2019 5:30;PDT;5.7;A
USGS;11501000;30/05/2019 5:45;PDT;5.9;A
USGS;11501000;30/05/2019 6:00;PDT;5.5;A
USGS;11501000;30/05/2019 6:15;PDT;5.5;A
USGS;11501000;30/05/2019 6:30;PDT;5.4;A
USGS;11501000;30/05/2019 6:45;PDT;5.4;A
USGS;11501000;30/05/2019 7:00;PDT;5.4;A
USGS;11501000;30/05/2019 7:15;PDT;5.5;A
USGS;11501000;30/05/2019 7:30;PDT;5.3;A
USGS;11501000;30/05/2019 7:45;PDT;5.3;A
USGS;11501000;30/05/2019 8:00;PDT;5.6;A
USGS;11501000;30/05/2019 8:15;PDT;5.3;A
USGS;11501000;30/05/2019 8:30;PDT;5;A
USGS;11501000;30/05/2019 8:45;PDT;5.2;A
USGS;11501000;30/05/2019 9:00;PDT;5.1;A
USGS;11501000;30/05/2019 9:15;PDT;5.2;A
USGS;11501000;30/05/2019 9:30;PDT;5;A
USGS;11501000;30/05/2019 9:45;PDT;4.9;A
USGS;11501000;30/05/2019 10:00;PDT;5;A
USGS;11501000;30/05/2019 10:15;PDT;4.9;A
USGS;11501000;30/05/2019 10:30;PDT;4.8;A
USGS;11501000;30/05/2019 10:45;PDT;4.7;A
USGS;11501000;30/05/2019 11:00;PDT;4.9;A
USGS;11501000;30/05/2019 11:15;PDT;4.6;A
USGS;11501000;30/05/2019 11:30;PDT;4.7;A
USGS;11501000;30/05/2019 11:45;PDT;4.7;A
USGS;11501000;30/05/2019 12:00;PDT;4.7;A
USGS;11501000;30/05/2019 12:15;PDT;4.6;A
USGS;11501000;30/05/2019 12:30;PDT;4.6;A
USGS;11501000;30/05/2019 12:45;PDT;4.7;A
USGS;11501000;30/05/2019 13:00;PDT;4.6;A
USGS;11501000;30/05/2019 13:15;PDT;4.4;A
USGS;11501000;30/05/2019 13:30;PDT;4.6;A
USGS;11501000;30/05/2019 13:45;PDT;4.4;A
USGS;11501000;30/05/2019 14:00;PDT;4.6;A
USGS;11501000;30/05/2019 14:15;PDT;4.6;A
USGS;11501000;30/05/2019 14:30;PDT;4.5;A
USGS;11501000;30/05/2019 14:45;PDT;4.5;A
USGS;11501000;30/05/2019 15:00;PDT;4.4;A
USGS;11501000;30/05/2019 15:15;PDT;4.5;A
USGS;11501000;30/05/2019 15:30;PDT;4.4;A
USGS;11501000;30/05/2019 15:45;PDT;4.4;A
USGS;11501000;30/05/2019 16:00;PDT;4.4;A
USGS;11501000;30/05/2019 16:15;PDT;4.3;A
USGS;11501000;30/05/2019 16:30;PDT;4.4;A
USGS;11501000;30/05/2019 16:45;PDT;4.3;A
USGS;11501000;30/05/2019 17:00;PDT;4.3;A
USGS;11501000;30/05/2019 17:15;PDT;4.4;A
USGS;11501000;30/05/2019 17:30;PDT;4.3;A
USGS;11501000;30/05/2019 17:45;PDT;4.2;A
USGS;11501000;30/05/2019 18:00;PDT;4.2;A
USGS;11501000;30/05/2019 18:15;PDT;4.3;A
USGS;11501000;30/05/2019 18:30;PDT;4.4;A
USGS;11501000;30/05/2019 18:45;PDT;4.3;A
USGS;11501000;30/05/2019 19:00;PDT;4.3;A
USGS;11501000;30/05/2019 19:15;PDT;4.4;A
USGS;11501000;30/05/2019 19:30;PDT;4.4;A
USGS;11501000;30/05/2019 19:45;PDT;4.4;A
USGS;11501000;30/05/2019 20:00;PDT;4.3;A
USGS;11501000;30/05/2019 20:15;PDT;4.4;A
USGS;11501000;30/05/2019 20:30;PDT;4.3;A
USGS;11501000;30/05/2019 20:45;PDT;4.4;A
USGS;11501000;30/05/2019 21:00;PDT;4.3;A
USGS;11501000;30/05/2019 21:15;PDT;4.5;A
USGS;11501000;30/05/2019 21:30;PDT;4.5;A
USGS;11501000;30/05/2019 21:45;PDT;4.6;A
USGS;11501000;30/05/2019 22:00;PDT;4.5;A
USGS;11501000;30/05/2019 22:15;PDT;4.5;A
USGS;11501000;30/05/2019 22:30;PDT;4.5;A
USGS;11501000;30/05/2019 22:45;PDT;4.5;A
USGS;11501000;30/05/2019 23:00;PDT;4.7;A
USGS;11501000;30/05/2019 23:15;PDT;4.8;A
USGS;11501000;30/05/2019 23:30;PDT;4.7;A
USGS;11501000;30/05/2019 23:45;PDT;4.6;A
USGS;11501000;31/05/2019 0:00;PDT;4.6;A
USGS;11501000;31/05/2019 0:15;PDT;4.7;A
USGS;11501000;31/05/2019 0:30;PDT;4.7;A
USGS;11501000;31/05/2019 1:00;PDT;5;A
USGS;11501000;31/05/2019 1:15;PDT;4.9;A
USGS;11501000;31/05/2019 1:30;PDT;4.9;A
USGS;11501000;31/05/2019 1:45;PDT;4.9;A
USGS;11501000;31/05/2019 2:00;PDT;5;A
USGS;11501000;31/05/2019 2:15;PDT;5;A
USGS;11501000;31/05/2019 2:30;PDT;4.8;A
USGS;11501000;31/05/2019 2:45;PDT;4.8;A
USGS;11501000;31/05/2019 3:00;PDT;4.8;A
USGS;11501000;31/05/2019 3:15;PDT;4.9;A
USGS;11501000;31/05/2019 3:30;PDT;4.9;A
USGS;11501000;31/05/2019 3:45;PDT;4.9;A
USGS;11501000;31/05/2019 4:00;PDT;5;A
USGS;11501000;31/05/2019 4:15;PDT;4.9;A
USGS;11501000;31/05/2019 4:30;PDT;4.9;A
USGS;11501000;31/05/2019 4:45;PDT;4.9;A
USGS;11501000;31/05/2019 5:00;PDT;4.9;A
USGS;11501000;31/05/2019 5:15;PDT;4.9;A
USGS;11501000;31/05/2019 5:30;PDT;4.9;A
USGS;11501000;31/05/2019 5:45;PDT;4.9;A
USGS;11501000;31/05/2019 6:00;PDT;4.9;A
USGS;11501000;31/05/2019 6:15;PDT;4.9;A
USGS;11501000;31/05/2019 6:30;PDT;4.9;A
USGS;11501000;31/05/2019 6:45;PDT;4.8;A
USGS;11501000;31/05/2019 7:00;PDT;4.8;A
USGS;11501000;31/05/2019 7:15;PDT;4.8;A
USGS;11501000;31/05/2019 7:30;PDT;4.7;A
USGS;11501000;31/05/2019 7:45;PDT;4.9;A
USGS;11501000;31/05/2019 8:00;PDT;4.7;A
USGS;11501000;31/05/2019 8:15;PDT;4.6;A
USGS;11501000;31/05/2019 8:30;PDT;4.7;A
USGS;11501000;31/05/2019 8:45;PDT;4.6;A
USGS;11501000;31/05/2019 9:00;PDT;4.5;A
USGS;11501000;31/05/2019 9:15;PDT;4.6;A
USGS;11501000;31/05/2019 9:30;PDT;4.7;A
USGS;11501000;31/05/2019 9:45;PDT;4.5;A
USGS;11501000;31/05/2019 10:00;PDT;4.5;A
USGS;11501000;31/05/2019 10:15;PDT;4.6;A
USGS;11501000;31/05/2019 10:30;PDT;4.5;A
USGS;11501000;31/05/2019 10:45;PDT;4.5;A
USGS;11501000;31/05/2019 11:00;PDT;4.5;A
USGS;11501000;31/05/2019 11:15;PDT;4.5;A
USGS;11501000;31/05/2019 11:30;PDT;4.4;A
USGS;11501000;31/05/2019 11:45;PDT;4.4;A
USGS;11501000;31/05/2019 12:00;PDT;4.3;A
USGS;11501000;31/05/2019 12:15;PDT;4.4;A
USGS;11501000;31/05/2019 12:30;PDT;4.3;A
USGS;11501000;31/05/2019 12:45;PDT;4.3;A
USGS;11501000;31/05/2019 13:00;PDT;4.3;A
USGS;11501000;31/05/2019 13:15;PDT;4.2;A
USGS;11501000;31/05/2019 13:30;PDT;4.3;A
USGS;11501000;31/05/2019 13:45;PDT;4.4;A
USGS;11501000;31/05/2019 14:00;PDT;4.3;A
USGS;11501000;31/05/2019 14:15;PDT;4.3;A
USGS;11501000;31/05/2019 14:30;PDT;4.3;A
USGS;11501000;31/05/2019 14:45;PDT;4.3;A
USGS;11501000;31/05/2019 15:00;PDT;4.3;A
USGS;11501000;31/05/2019 15:15;PDT;4.2;A
USGS;11501000;31/05/2019 15:30;PDT;4.2;A
USGS;11501000;31/05/2019 15:45;PDT;4.1;A
USGS;11501000;31/05/2019 16:00;PDT;4.2;A
USGS;11501000;31/05/2019 16:15;PDT;4.1;A
USGS;11501000;31/05/2019 16:30;PDT;4.1;A
USGS;11501000;31/05/2019 16:45;PDT;4.2;A
USGS;11501000;31/05/2019 17:00;PDT;4.2;A
USGS;11501000;31/05/2019 17:15;PDT;4.1;A
USGS;11501000;31/05/2019 17:30;PDT;4.1;A
USGS;11501000;31/05/2019 17:45;PDT;4.1;A
USGS;11501000;31/05/2019 18:00;PDT;4.2;A
USGS;11501000;31/05/2019 18:15;PDT;4.3;A
USGS;11501000;31/05/2019 18:30;PDT;4.2;A
USGS;11501000;31/05/2019 18:45;PDT;4.3;A
USGS;11501000;31/05/2019 19:00;PDT;4.3;A
USGS;11501000;31/05/2019 19:15;PDT;4.2;A
USGS;11501000;31/05/2019 19:30;PDT;4.4;A
USGS;11501000;31/05/2019 19:45;PDT;4.3;A
USGS;11501000;31/05/2019 20:00;PDT;4.3;A
USGS;11501000;31/05/2019 20:15;PDT;4.2;A
USGS;11501000;31/05/2019 20:30;PDT;4.4;A
USGS;11501000;31/05/2019 20:45;PDT;4.4;A
USGS;11501000;31/05/2019 21:00;PDT;4.4;A
USGS;11501000;31/05/2019 21:15;PDT;4.4;A
USGS;11501000;31/05/2019 21:30;PDT;4.4;A
USGS;11501000;31/05/2019 21:45;PDT;4.4;A
USGS;11501000;31/05/2019 22:00;PDT;4.5;A
USGS;11501000;31/05/2019 22:15;PDT;4.4;A
USGS;11501000;31/05/2019 22:30;PDT;4.5;A
USGS;11501000;31/05/2019 22:45;PDT;4.6;A
USGS;11501000;31/05/2019 23:00;PDT;4.7;A
USGS;11501000;31/05/2019 23:15;PDT;4.6;A
USGS;11501000;31/05/2019 23:30;PDT;4.6;A
USGS;11501000;31/05/2019 23:45;PDT;4.7;A
USGS;11501000;01/06/2019 0:00;PDT;4.5;A
USGS;11501000;01/06/2019 0:15;PDT;4.7;A
